[22:01:26] [main/INFO]: Found mod file ExtendedAE-1.20-1.4.19-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ExtremeSoundMuffler-3.51-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file fallingtrees-forge-0.12.7-1.20.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file fancymenu_forge_3.8.1_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file fast-ip-ping-v1.0.11-mc1.20.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file FastSuite-1.20.1-5.1.2.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file FastWorkbench-1.20.1-8.0.4.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file FirmaCivilization-1.20.1-1.0.9.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file firmacivplus-1.0.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file Firmalife-1.20.1-2.1.28.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file flickerfix-1.20.1-4.0.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file fluidlogistics-1.2.6.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file fowlplay-1.2.3+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file FpsReducer2-forge-1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file FramedBlocks-9.4.3.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ftb-chunks-forge-2001.3.8.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ftb-essentials-forge-2001.2.4.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ftb-filter-system-forge-20.0.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ftb-library-forge-2001.2.13.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ftb-quests-forge-2001.4.22.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ftb-ranks-forge-2001.1.7.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file ftb-teams-forge-2001.3.2.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
